price,description,lien_produit,name,image_url,regular_price,discount,stock_availability,brand,category,offre,garantie
779.0,"Écran 15.6"" Full HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire: 4 Go DDR4-3200 MHz - Disque dur: 256 Go SSD - Carte graphique: Intel UHD Graphics, avec Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 prise adaptateur secteur Smart Pin, 1 prise combinée casque/microphone - Clavier complet gris clair avec pavé numérique - Couleur: Silver & Or Chaud - Garantie: 1 an",https://www.mytek.tn/pc-portable-hp-15-fd0028nk-intel-n100-4g-256go-ssd-silver-or-chaud.html,PC Portable HP 15-fd0028nk Intel N100 4G 256Go SSD - Silver & Or Chaud,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0028nk-intel-n100-4g-256go-ssd-silver-or-chaud-s.jpg,889.0,-110.0,En stock,hp,Pc Portable,N/A,12
26.5,Sac à Goûter ISOTHERME PA08 - Sexe: Fille - Design tendance - Sac Isotherme déjeuner pour enfant en tissu résistant - Fermeture à glissière - Contient un grande poche centrale - Couleur: Noir & Rouge,https://www.mytek.tn/sac-a-gouter-isotherme-pa08-noir-rouge.html,Sac à Goûter ISOTHERME PA08 - Noir&Rouge,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/s/a/sans-titre-2_241_1_1.jpg,0.0,0.0,En stock,sans-fabricant,Sac à Goûter,N/A,
26.5,Sac à Goûter ISOTHERME GUITNI Fleurs PA19 - Sexe: Fille - Design tendance - Nombre de poches: 2 - Design tendance et décontracté - Finition très soignée - Fermeture à glissière - Couleur: Violet,https://www.mytek.tn/sac-a-gouter-isotherme-pa19-violet.html,Sac à Goûter ISOTHERME GUITNI Fleurs PA19 - Violet,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/a/pa19-violet_1.jpg,0.0,0.0,En stock,sans-fabricant,Sac à Goûter,N/A,
9.8,"Mousse De Nettoyage  PLATINET - Pour surfaces plastiques - Contenu de la bouteille: 400 ml - Antistatique - Parfait pour le nettoyage de votre matériel informatique, électronique et multimédia (moniteurs, photocopieurs, scanners, équipements et appareils ménagers, etc.) - Permet d'enlever poussière, graisse, nicotine, et autre saletés",https://www.mytek.tn/mousse-de-nettoyage-platinet-pour-surfaces-plastiques-400-ml.html,Mousse De Nettoyage PLATINET Pour Surfaces Plastiques 400 ml,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/m/o/mousse-de-nettoyage-platinet-pour-surfaces-plastiques-400-ml.jpg,0.0,0.0,En stock,platinet,Accessoires Divers,N/A,
10.9,"Air Comprimé PLATINET Pour écrans - Capacité: 400 ml - Bombe a air comprime pour nettoyer votre equipement informatique et vos autres appareils electroniques - Facilite le depoussierage dans les endroits difficiles a atteindre - Recommande pour le nettoyage: Caisses enregistreuses, ordinateurs (nettoyage des claviers, des boîtiers d'ordinateurs) - Buse à air en plastique pratique",https://www.mytek.tn/air-comprime-platinet-pfs5130-pour-ecrans-400-ml.html,Air Comprimé PLATINET PFS5130 Pour écrans 400 ml ,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/a/i/air-comprime-platinet-pfs5130-pour-ecrans-400-ml.jpg,0.0,0.0,En stock,platinet,Accessoires Divers,N/A,
779.0,"Écran 15.6"" Full HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire: 4 Go DDR4-3200 MHz - Disque dur: 256 Go SSD - Carte graphique: Intel UHD Graphics, avec Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 prise adaptateur secteur Smart Pin, 1 prise combinée casque/microphone - Clavier complet gris clair avec pavé numérique - Couleur: Silver & Bleu - Garantie: 1 an",https://www.mytek.tn/pc-portable-hp-15-fd0029nk-intel-n100-4g-256go-ssd-silver-bleu.html,PC Portable HP 15-fd0029nk Intel N100 4G 256Go SSD - Silver & Bleu,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0029nk-intel-n100-4g-256go-ssd-silver-bleu.jpg,899.0,-120.0,En arrivage,hp,Pc Portable,N/A,12
789.0,"Écran 15.6"" Full HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire: 4 Go DDR4-3200 MHz - Disque dur: 256 Go SSD - Carte graphique: Intel UHD Graphics, avec Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1x prise adaptateur secteur Smart Pin, 1x prise combinée casque/microphone - Clavier complet gris clair rétroéclairé avec pavé numérique - Couleur: Blanc - Garantie: 1 an",https://www.mytek.tn/pc-portable-hp-15-fd0038nk-intel-n100-4go-256go-ssd-blanc.html,PC Portable HP 15-fd0038nk Intel N100 4Go 256Go SSD - Blanc,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0038nk-intel-n100-4go-256go-ssd-blanc.jpg,0.0,0.0,En stock,hp,Pc Portable,N/A,12
29.9,Sac à Goûter ISOTHERME GUITNI PA05 Moto - Sexe: Unisex - Design tendance - Fermeture à glissière - Contient un grande poche centrale - Ce sac convient idéalement aux enfants de la maternelle à l'entrée au primaire - Couleur: Noir,https://www.mytek.tn/sac-a-gouter-isotherme-guitni-pa05-moto-noir.html,Sac à Goûter ISOTHERME GUITNI PA05 Moto - Noir,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/s/a/sac-a-gouter-isotherme-guitni-pa05-moto-noir-1.jpg,0.0,0.0,En stock,sans-fabricant,Sac à Goûter,N/A,
29.9,Sac à Goûter ISOTHERME Cars 6411698 Pour Garçon - Sexe: Garçon - 1 compartiment central avec fermeture zip - 1 compartiment en Avant avec fermeture - Conserver le déjeuner ou le goûter d'une manière saine et propre - Facile à nettoyer Isolé - Possibilité de tenir à la main ou bien par bandoulière - Couleur: Bleu&Rouge,https://www.mytek.tn/sac-a-gouter-isotherme-cars-6411698-pour-garcon-bleu-rouge.html,Sac à Goûter ISOTHERME Cars 6411698 Pour Garçon - Bleu&Rouge,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/6/4/6411698.jpg,0.0,0.0,En stock,sans-fabricant,Sac à Goûter,N/A,
11.5,"Nettoyeur d'écran SBOX - Contenu de la bouteille:  200 ml - Nettoyeur d'écran Pour TV, LCD, PC, Ordinateur portable, Téléphones portables, Tablettes, Appareil photo et Verres Antistatique, Sans alcool, Biodégradable, Ininflammable ",https://www.mytek.tn/nettoyeur-d-ecran-sbox-cs-02-200-ml.html,Nettoyeur d'écran SBOX CS-02 200 ml ,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/n/e/nettoyeur-d-ecran-sbox-cs-02-200-ml.jpg,0.0,0.0,En stock,sbox,Accessoires Divers,N/A,
12.0,"Nettoyeur d'écran PLATINET - Contenu de la bouteille: 400 ml - Mousse antibactériene - Elimine parfaitement la graisse et la saleté - Nettoie les surfaces en verre de la poussiere, la nicotine, la graisse.",https://www.mytek.tn/nettoyeur-d-ecran-platinet-pfs5110-400-ml.html,Nettoyeur d'écran PLATINET PFS5110 400 ml,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/n/e/nettoyeur-d-ecran-platinet-pfs5110-400-ml.jpg,0.0,0.0,En stock,platinet,Accessoires Divers,N/A,
13.5,Liquide Nettoyant PLATINET PFS5525 - Capacité: 250 ml - Pour Lcd/tft/monitors/notebook Blanc - Convient pour nettoyer le type d'écrans - Enlève facilement les empreintes digitales et la saleté - Gel liquide,https://www.mytek.tn/liquide-nettoyant-platinet-pfs5525-pour-lcd-250-ml.html,Liquide Nettoyant PLATINET PFS5525 Pour LCD 250 ml,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/l/i/liquide-nettoyant-platinet-pfs5525-pour-lcd-250-ml.jpg,0.0,0.0,En stock,platinet,Accessoires Divers,N/A,
29.9,Sac à Goûter ISOTHERME GUITNI PA11-1 - Sexe: Garçon - Nombre de poches: 2 - Design tendance - Fermeture à glissière - Ce sac convient idéalement aux enfants de la maternelle à l'entrée au primaire - Couleur: Noir & Bleu,https://www.mytek.tn/sac-a-gouter-isotherme-guitni-pa11-1-noir-bleu.html,Sac à Goûter ISOTHERME GUITNI PA11-1 - Noir&Bleu,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/a/pa11-1.jpg,0.0,0.0,En stock,sans-fabricant,Sac à Goûter,N/A,
14.5,"Air Comprimé PLATINET PFS5160 - Capacité: 600 ml - Bombe dépoussièrante / Aérosol qui vous permet de nettoyer clavier, imprimante, lecteur CD, photocopieur, fax, et bien d'autres - Élimine la poussière et les miettes - De l'air comprimé pour les endroits difficiles d'accès",https://www.mytek.tn/air-comprime-platinet-pfs5160-600-ml.html,Air Comprimé PLATINET PFS5160 600 ml ,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/a/i/air-comprime-platinet-pfs5160-600-ml.jpg,0.0,0.0,Epuisé,platinet,Accessoires Divers,N/A,
105.0,"Support de Bureau SBOX Pour 1 Moniteur LCD - Taille de l'écran: 17"" - 32""  - Poids maximale: jusqu'à 9Kg - Montage VESA: 75 x 75 à 100 x 100 - Inclinaison verticale : +45° / -45° - Pivotement : +90° / -90° - Rotation de l'écran : +180°/ -180° - Matériau: Acier/plastique - Couleur: Noir ",https://www.mytek.tn/support-de-bureau-sbox-lcd-f012-2-pour-1-moniteur-lcd-17-32.html,Support de Bureau SBOX LCD-F012-2 Pour 1 Moniteur LCD 17''- 32'',https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/s/u/support-de-bureau-sbox-lcd-f012-2-pour-1-moniteur-lcd-17-32.jpg,0.0,0.0,En stock,sbox,Support Ecran,N/A,
25.0,"Disque Dur Interne SEAGATE Pipeline - Format Disque Dur: 3.5 pouces - Capacité de Stockage: 500 Go - Type de Disque Dur: HDD - Interface électrique: SATA 300 - 3,0 Gbit/s) - Vitesse de rotation: 5 900 tr/min - Taille de la Mémoire Cache: 8 Mo - Utilisation: PC Bureau - Dimension: 101.6 x 26.1 x 147mm - Poids: 380 g - Garantie: 6 mois",https://www.mytek.tn/disque-dur-interne-seagate-pipeline-500go-3-5-reconditionne.html,Disque Dur Interne SEAGATE Pipeline 500Go 3.5'' Reconditionné ,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/d/i/disque-dur-interne-seagate-pipeline-500go-3-5-reconditionne-st3500312cs.jpg,0.0,0.0,Epuisé,seagate,Disque Dur Interne,N/A,6
999.0,"Webcam Vidéoconférence JABRA PanaCast 20 - Technologie de connectivité: Filaire - Interface avec l'ordinateur: USB - Résolution: Ultra HD 4K (jusqu’à 3840 x 2160 pixels) - Champ de vision: 90° - Fonction Image dans l'image - Optimisation de l'image reposant sur l'IA - Zoom intelligent - Optimisation intelligente de la lumière - Chipset extrêmement puissant intégré à l'appareil pour un traitement des signaux vidéo rapide, précis et très sûr - Cache intégré pour protéger immédiatement la vie privée - Couleur: Noir - Garantie: 2 ans",https://www.mytek.tn/webcam-videoconference-jabra-panacast-20-ultra-hd-noir.html,Webcam Vidéoconférence JABRA PanaCast 20 Ultra HD - Noir,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/8/3/8300-119.jpg,0.0,0.0,Sur commande 48h,jabra,Visioconférence,N/A,24
208.0,Support Jabra PanaCast Pour Appareil Photo - Système de montage conçu pour fixer la Jabra PanaCast à un mur - Idéal pour effectuer une installation permanente du PanaCast,https://www.mytek.tn/support-mural-pour-appareil-photo-montable-jabra-panacast-noir.html,Support mural Pour Appareil Photo Montable JABRA PanaCast - Noir,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/s/u/support-mural-pour-appareil-photo-montable-jabra-panacast-noir.jpg,0.0,0.0,Sur commande 48h,jabra,Accessoires Visioconférence ,N/A,
29.0,"Refroidisseur HAVIT HV-F2035 - Nombre de Ventilateur: 2 - Vitesse du ventilateur: 1000 + -10% RPM - Taille du ventilateur: 140 x 140 x 15 mm - Fonctionnement de la tension d'entrée: DC 5 V - Convient aux ordinateurs portables de 14 à 15,6 pouces - Conçu pour la double prise USB - Avec lumière LED bleu - Dimensions: 342 x 250 x 20 mm - Poids: 700 g - Couleur: Noir - Garantie: 1 an",https://www.mytek.tn/refroidisseur-havit-hv-f2035-pour-pc-portable-14-15-6-noir.html,"Refroidisseur HAVIT HV-F2035 Pour PC Portable 14-15.6"" - Noir",https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/r/e/refroidisseur-havit-hv-f2035-pour-pc-portable-14-15-6-noir.jpg,0.0,0.0,En stock,havit,Refroidisseurs PC Portable,N/A,12
789.0,"Écran 15.6"" Full HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire: 8 Go DDR4-3200 MHz - Disque dur: 256 Go SSD - Carte graphique: Intel UHD Graphics, avec Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 prise adaptateur secteur Smart Pin, 1 prise combinée casque/microphone - Clavier complet gris clair avec pavé numérique - Couleur: Silver & Or Chaud - Garantie: 1 an",https://www.mytek.tn/pc-portable-hp-15-fd0028nk-intel-n100-8go-256go-ssd-silver-or-chaud.html,PC Portable HP 15-fd0028nk Intel N100 8Go 256Go SSD - Silver & Or Chaud,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0028nk-intel-n100-8go-256go-ssd-silver-or-chaud.jpg,929.0,-140.0,En arrivage,hp,Pc Portable,N/A,12
29.9,Sac à Goûter ISOTHERME GUITNI PA11-03 - Sexe: Fille - Nombre de poches: 2 - - Design tendance - Fermeture à glissière - Ce sac convient idéalement aux enfants de la maternelle à l'entrée au primaire - Couleur: Noir & Rouge,https://www.mytek.tn/sac-a-gouter-isotherme-pa11-03.html,Sac à Goûter ISOTHERME GUITNI PA11-03 - Noir&Rouge,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/s/a/sans-titre-7_1_1.jpg,0.0,0.0,En stock,sans-fabricant,Sac à Goûter,N/A,
14.9,"Huile de Broyage Pour Destructeur De Papier PLATINET - Contenu de la bouteille: 250 ml - L'huile spéciale pour broyeurs empêchera la poussière et la saleté de se déposer sur les lames de l'appareil - En même temps, il évite le blocage du mécanisme de coupe et contribue efficacement à prolonger la durée de vie de votre machine - Pour utiliser: appliquez une petite quantité d'huile sur une feuille de papier, insérez le papier dans la déchiqueteuse et répétez le processus jusqu'à ce que les lames de la machine soient propres.",https://www.mytek.tn/huile-de-broyage-pour-destructeur-de-papier-platinet-pfs2500-250-ml.html,Huile de Broyage Pour Destructeur De Papier PLATINET PFS2500 250 ml,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/h/u/huile-de-broyage-pour-destructeur-de-papier-platinet-pfs2500-250-ml.jpg,0.0,0.0,En stock,platinet,Accessoires Divers,N/A,
105.0,"Support de Bureau SBOX Pour 1 Moniteur LCD - Taille de l'écran: 13""- 32"" - Poids maximale: jusqu'à 8Kg - Montage VESA: 75 x 75 à 100 x 100 - Inclinaison verticale : +45° / -45° - Rotation horizontale : +90° / -90° - Rotation de l'écran : +180°/ -180° - Couleur: Noir ",https://www.mytek.tn/support-de-bureau-sbox-lcd-3511-2-pour-1-moniteur-lcd-13-32.html,"Support de Bureau SBOX LCD-3511-2 Pour 1 Moniteur LCD 13""- 32"" ",https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/s/u/support-de-bureau-sbox-lcd-3511-2-pour-1-moniteur-lcd-13-32.jpg,0.0,0.0,En stock,sbox,Support Ecran,N/A,
179.0,"Support de Bureau SBOX Pour 2 Moniteurs LCD - Taille de l'écran: 13""- 32"" - Poids max: jusqu'à 8Kg par moniteur - Montage VESA: 75x75, 100 x 100 - Matériau: Acier ",https://www.mytek.tn/support-de-bureau-sbox-lcd-3522-pour-2-moniteurs-lcd-13-32.html,"Support de Bureau SBOX LCD-3522 Pour 2 Moniteurs LCD 13""- 32""",https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/s/u/support-de-bureau-sbox-lcd-3522-pour-2-moniteurs-lcd-13-32.jpg,0.0,0.0,Epuisé,sbox,Support Ecran,N/A,
29.9,"Disque Dur Interne HGST - Capacité de Stockage: 500 Go - Type de Disque Dur: HDD - Format Disque Dur: 2.5 pouces - Interface électrique: SATA 300 - 3,0 Gbit/s) - Vitesse de rotation: 7200 tr/min - Utilisation: PC Portable - Garantie: 6 mois",https://www.mytek.tn/disque-dur-interne-hgst-500go-2-5-reconditionne-pour-pc-portable.html,Disque Dur Interne HGST 500Go 2.5'' Reconditionné Pour Pc Portable,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/d/i/disque-dur-interne-hgst-500go-2-5-reconditionne-pour-pc-portable.jpg,0.0,0.0,En stock,hgst,Disque Dur Interne,N/A,6
